"municipio","ano","quarter","precio"
"La Moraleja",2003,2,NA
"Leganés",2003,2,2121.95858435849
"Majadahonda",2003,2,2601.68870579918
"Manzanares El Real",2003,2,NA
"Meco",2003,2,NA
"Mejorada Del Campo",2003,2,NA
"Molar El",2003,2,NA
"Móstoles",2003,2,1791.77384597481
"Navalcarnero",2003,2,NA
"Paracuellos Del Jarama",2003,2,NA
"Parla",2003,2,1477.31896325574
"Pinto",2003,2,1877.36306382634
"Pozuelo De Alarcón",2003,2,2882.12406578719
"Rivas-Vacíamadrid",2003,2,NA
"Rozas De Madrid (Las)",2003,2,2626.74177817766
"San Agustín De Guadalix",2003,2,NA
"San Fernando De Henares",2003,2,2307.79473238396
"San Lorenzo Del Escorial",2003,2,NA
"San Martín De La Vega",2003,2,NA
"San Martín De Valdeiglesias",2003,2,NA
"San Sebastián De Los Reyes",2003,2,2360.45708849762
"Sevilla La Nueva",2003,2,NA
"Torrejón De Ardoz",2003,2,1785.23661729846
"Torrelodones",2003,2,2344.93957347
"Tres Cantos",2003,2,2664.34408684464
"Valdemoro",2003,2,NA
"Villanueva De La Cañada",2003,2,NA
"Villanueva Del Pardillo",2003,2,NA
"Villaviciosa De Odón",2003,2,2844.80388233543
"Alcalá De Henares",2003,3,1937.55025985039
"Alcobendas",2003,3,3354.39195508556
"Alcorcón",2003,3,2344.19449512787
"Algete",2003,3,1986.29825176111
"Alpedrete",2003,3,NA
"Aranjuez",2003,3,NA
"Arganda Del Rey",2003,3,1925.10134503474
"Arroyomolinos",2003,3,NA
"Boadilla Del Monte",2003,3,2567.08216987748
"Brunete",2003,3,NA
"Cercedilla",2003,3,NA
"Ciempozuelos",2003,3,NA
"Collado Villalba",2003,3,1887.28091528844
"Colmenar Viejo",2003,3,2206.34635472998
"Coslada",2003,3,2061.41348786245
"El Escorial",2003,3,1901.34022362202
"Fuenlabrada",2003,3,1880.66620499051
"Galapagar",2003,3,1979.0801887747
"Getafe",2003,3,2219.67629368441
"Guadarrama",2003,3,NA
"Humanes De Madrid",2003,3,NA
"La Moraleja",2003,3,NA
"Leganés",2003,3,2197.60351110777
"Majadahonda",2003,3,2683.30467299622
"Manzanares El Real",2003,3,NA
"Meco",2003,3,NA
"Mejorada Del Campo",2003,3,NA
"Molar El",2003,3,NA
"Móstoles",2003,3,1892.25724593676
"Navalcarnero",2003,3,NA
"Paracuellos Del Jarama",2003,3,NA
"Parla",2003,3,1634.54947252453
"Pinto",2003,3,2158.76929770852
"Pozuelo De Alarcón",2003,3,3067.83087718959
"Rivas-Vacíamadrid",2003,3,NA
"Rozas De Madrid (Las)",2003,3,2692.79571454559
"San Agustín De Guadalix",2003,3,NA
"San Fernando De Henares",2003,3,2384.23481903423
"San Lorenzo Del Escorial",2003,3,NA
"San Martín De La Vega",2003,3,NA
"San Martín De Valdeiglesias",2003,3,NA
"San Sebastián De Los Reyes",2003,3,2485.12883404505
"Sevilla La Nueva",2003,3,NA
"Torrejón De Ardoz",2003,3,1832.04397069279
"Torrelodones",2003,3,2398.68580712415
"Tres Cantos",2003,3,2700.14696701763
"Valdemoro",2003,3,NA
"Villanueva De La Cañada",2003,3,NA
"Villanueva Del Pardillo",2003,3,NA
"Villaviciosa De Odón",2003,3,2570.29523061621
"Alcalá De Henares",2003,4,2089.0240142046
"Alcobendas",2003,4,3329.72787210455
"Alcorcón",2003,4,2548.1035802886
"Algete",2003,4,NA
"Alpedrete",2003,4,NA
"Aranjuez",2003,4,NA
"Arganda Del Rey",2003,4,NA
"Arroyomolinos",2003,4,NA
"Boadilla Del Monte",2003,4,2730.94541602864
"Brunete",2003,4,NA
"Cercedilla",2003,4,NA
"Ciempozuelos",2003,4,NA
"Collado Villalba",2003,4,2090.72653363587
"Colmenar Viejo",2003,4,2277.7187783029
"Coslada",2003,4,2292.02252745144
"El Escorial",2003,4,NA
"Fuenlabrada",2003,4,1968.15447895184
"Galapagar",2003,4,2087.83213279239
"Getafe",2003,4,2377.15083284608
"Guadarrama",2003,4,NA
"Humanes De Madrid",2003,4,NA
"La Moraleja",2003,4,NA
"Leganés",2003,4,2240.56019958593
"Majadahonda",2003,4,2883.79076778672
"Manzanares El Real",2003,4,NA
"Meco",2003,4,NA
"Mejorada Del Campo",2003,4,NA
"Molar El",2003,4,NA
"Móstoles",2003,4,1941.09541884553
"Navalcarnero",2003,4,NA
"Paracuellos Del Jarama",2003,4,NA
"Parla",2003,4,1921.35609257696
"Pinto",2003,4,NA
"Pozuelo De Alarcón",2003,4,3266.31508916111
"Rivas-Vacíamadrid",2003,4,NA
"Rozas De Madrid (Las)",2003,4,2784.58336752083
"San Agustín De Guadalix",2003,4,NA
"San Fernando De Henares",2003,4,2553.67218006586
"San Lorenzo Del Escorial",2003,4,NA
"San Martín De La Vega",2003,4,NA
"San Martín De Valdeiglesias",2003,4,NA
"San Sebastián De Los Reyes",2003,4,2614.28362817256
"Sevilla La Nueva",2003,4,2099.40750989779
"Torrejón De Ardoz",2003,4,2007.64615347086
"Torrelodones",2003,4,2547.70101913618
"Tres Cantos",2003,4,2886.20320336884
"Valdemoro",2003,4,NA
"Villanueva De La Cañada",2003,4,NA
"Villanueva Del Pardillo",2003,4,NA
"Villaviciosa De Odón",2003,4,NA
"Alcalá De Henares",2004,1,2151.77655414441
"Alcobendas",2004,1,3537.35463766159
"Alcorcón",2004,1,2581.16068210037
"Algete",2004,1,NA
"Alpedrete",2004,1,1339.91199189739
"Aranjuez",2004,1,1903.98754353228
"Arganda Del Rey",2004,1,NA
"Arroyomolinos",2004,1,NA
"Boadilla Del Monte",2004,1,2860.14446451389
"Brunete",2004,1,2190.53370348129
"Cercedilla",2004,1,NA
"Ciempozuelos",2004,1,1801.78218224829
"Collado Villalba",2004,1,2168.49529977611
"Colmenar Viejo",2004,1,2406.42943709481
"Coslada",2004,1,2486.76472280937
"El Escorial",2004,1,NA
"Fuenlabrada",2004,1,2041.13573994421
"Galapagar",2004,1,2087.79526262935
"Getafe",2004,1,2331.07483666758
"Guadarrama",2004,1,NA
"Humanes De Madrid",2004,1,NA
"La Moraleja",2004,1,NA
"Leganés",2004,1,2362.52094497825
"Majadahonda",2004,1,3018.1952705528
"Manzanares El Real",2004,1,NA
"Meco",2004,1,NA
"Mejorada Del Campo",2004,1,NA
"Molar El",2004,1,NA
"Móstoles",2004,1,2073.4592833491
"Navalcarnero",2004,1,NA
"Paracuellos Del Jarama",2004,1,NA
"Parla",2004,1,1994.04841398382
"Pinto",2004,1,3250.21149873453
"Pozuelo De Alarcón",2004,1,3282.66727870653
"Rivas-Vacíamadrid",2004,1,2258.98870840987
"Rozas De Madrid (Las)",2004,1,2777.97454067628
"San Agustín De Guadalix",2004,1,NA
"San Fernando De Henares",2004,1,2562.72127636931
"San Lorenzo Del Escorial",2004,1,2416.37556548328
"San Martín De La Vega",2004,1,NA
"San Martín De Valdeiglesias",2004,1,NA
"San Sebastián De Los Reyes",2004,1,2881.76342086654
"Sevilla La Nueva",2004,1,2143.3367181341
"Torrejón De Ardoz",2004,1,2100.24417142364
"Torrelodones",2004,1,2582.37148232086
"Tres Cantos",2004,1,2926.05007704918
"Valdemoro",2004,1,2088.85239188172
"Villanueva De La Cañada",2004,1,NA
"Villanueva Del Pardillo",2004,1,2530.92172883121
"Villaviciosa De Odón",2004,1,NA
"Alcalá De Henares",2004,2,2259.91012198405
"Alcobendas",2004,2,3518.36182382255
"Alcorcón",2004,2,2575.87666109765
"Algete",2004,2,NA
"Alpedrete",2004,2,1504.64043379324
"Aranjuez",2004,2,1861.29872738118
"Arganda Del Rey",2004,2,NA
"Arroyomolinos",2004,2,NA
"Boadilla Del Monte",2004,2,3012.75663378222
"Brunete",2004,2,2501.54696926276
"Cercedilla",2004,2,NA
"Ciempozuelos",2004,2,1914.26457506906
"Collado Villalba",2004,2,2202.55543537469
"Colmenar Viejo",2004,2,2488.55472487597
"Coslada",2004,2,2470.60378228746
"El Escorial",2004,2,NA
"Fuenlabrada",2004,2,2059.22556924947
"Galapagar",2004,2,2143.23406653725
"Getafe",2004,2,2639.08040193322
"Guadarrama",2004,2,NA
"Humanes De Madrid",2004,2,NA
"La Moraleja",2004,2,NA
"Leganés",2004,2,2401.74543065477
"Majadahonda",2004,2,2972.6031969795
"Manzanares El Real",2004,2,NA
"Meco",2004,2,NA
"Mejorada Del Campo",2004,2,NA
"Molar El",2004,2,NA
"Móstoles",2004,2,2134.05071362032
"Navalcarnero",2004,2,NA
"Paracuellos Del Jarama",2004,2,NA
"Parla",2004,2,2013.04887530062
"Pinto",2004,2,2985.94980208062
"Pozuelo De Alarcón",2004,2,3386.5036066581
"Rivas-Vacíamadrid",2004,2,2293.38441646448
"Rozas De Madrid (Las)",2004,2,2962.30579763535
"San Agustín De Guadalix",2004,2,NA
"San Fernando De Henares",2004,2,2687.33347075634
"San Lorenzo Del Escorial",2004,2,2311.37102489448
"San Martín De La Vega",2004,2,NA
"San Martín De Valdeiglesias",2004,2,NA
"San Sebastián De Los Reyes",2004,2,2866.81537233963
"Sevilla La Nueva",2004,2,2207.69811624775
"Torrejón De Ardoz",2004,2,NA
"Torrelodones",2004,2,2558.47042796777
"Tres Cantos",2004,2,3007.43800082767
"Valdemoro",2004,2,2179.24224515894
"Villanueva De La Cañada",2004,2,NA
"Villanueva Del Pardillo",2004,2,2142.59245519322
"Villaviciosa De Odón",2004,2,NA
"Alcalá De Henares",2004,3,2260.65702111281
"Alcobendas",2004,3,3489.82642493028
"Alcorcón",2004,3,2607.18196812532
"Algete",2004,3,NA
"Alpedrete",2004,3,1491.65871846904
"Aranjuez",2004,3,1911.98769054516
"Arganda Del Rey",2004,3,NA
"Arroyomolinos",2004,3,NA
"Boadilla Del Monte",2004,3,3036.35792893787
"Brunete",2004,3,2456.49205729942
"Cercedilla",2004,3,NA
"Ciempozuelos",2004,3,1963.79810585252
"Collado Villalba",2004,3,2246.93682418496
"Colmenar Viejo",2004,3,2426.88050616777
"Coslada",2004,3,2602.92148281062
"El Escorial",2004,3,NA
"Fuenlabrada",2004,3,2073.2954364869
"Galapagar",2004,3,2179.14272729781
"Getafe",2004,3,2583.45388497385
"Guadarrama",2004,3,NA
"Humanes De Madrid",2004,3,NA
"La Moraleja",2004,3,NA
"Leganés",2004,3,2396.71665043983
"Majadahonda",2004,3,3010.09001302866
"Manzanares El Real",2004,3,NA
"Meco",2004,3,NA
"Mejorada Del Campo",2004,3,NA
"Molar El",2004,3,NA
"Móstoles",2004,3,2179.23754297513
"Navalcarnero",2004,3,NA
"Paracuellos Del Jarama",2004,3,NA
"Parla",2004,3,2073.0503320905
"Pinto",2004,3,3024.35461024176
"Pozuelo De Alarcón",2004,3,3413.23375048722
"Rivas-Vacíamadrid",2004,3,2280.23311632595
"Rozas De Madrid (Las)",2004,3,2943.64233793727
"San Agustín De Guadalix",2004,3,NA
"San Fernando De Henares",2004,3,2725.12569364421
"San Lorenzo Del Escorial",2004,3,2325.64783493192
"San Martín De La Vega",2004,3,NA
"San Martín De Valdeiglesias",2004,3,NA
"San Sebastián De Los Reyes",2004,3,2848.46104034153
"Sevilla La Nueva",2004,3,2243.45444853312
"Torrejón De Ardoz",2004,3,2139.74174945575
"Torrelodones",2004,3,2707.43748353216
"Tres Cantos",2004,3,3125.61645885478
"Valdemoro",2004,3,2175.12074682294
"Villanueva De La Cañada",2004,3,NA
"Villanueva Del Pardillo",2004,3,2676.04915326098
"Villaviciosa De Odón",2004,3,NA
"Alcalá De Henares",2004,4,2365.34281971686
"Alcobendas",2004,4,3329.72787210455
"Alcorcón",2004,4,2548.1035802886
"Algete",2004,4,NA
"Alpedrete",2004,4,2280.43817335219
"Aranjuez",2004,4,2078.247489723
"Arganda Del Rey",2004,4,NA
"Arroyomolinos",2004,4,NA
"Boadilla Del Monte",2004,4,3068.16837023461
"Brunete",2004,4,2214.77360545301
"Cercedilla",2004,4,NA
"Ciempozuelos",2004,4,2088.66388136915
"Collado Villalba",2004,4,2282.0290851047
"Colmenar Viejo",2004,4,2525.55925610089
"Coslada",2004,4,2681.70606785495
"El Escorial",2004,4,NA
"Fuenlabrada",2004,4,2176.8094597337
"Galapagar",2004,4,2274.55716874729
"Getafe",2004,4,2684.05202253747
"Guadarrama",2004,4,NA
"Humanes De Madrid",2004,4,NA
"La Moraleja",2004,4,NA
"Leganés",2004,4,2457.0620130191
"Majadahonda",2004,4,3106.33994612786
"Manzanares El Real",2004,4,NA
"Meco",2004,4,NA
"Mejorada Del Campo",2004,4,NA
"Molar El",2004,4,NA
"Móstoles",2004,4,2245.99081361292
"Navalcarnero",2004,4,NA
"Paracuellos Del Jarama",2004,4,NA
"Parla",2004,4,1967.04775842837
"Pinto",2004,4,NA
"Pozuelo De Alarcón",2004,4,3416.31799785212
"Rivas-Vacíamadrid",2004,4,2349.02453243516
"Rozas De Madrid (Las)",2004,4,3062.8811082306
"San Agustín De Guadalix",2004,4,NA
"San Fernando De Henares",2004,4,2757.81085938507
"San Lorenzo Del Escorial",2004,4,NA
"San Martín De La Vega",2004,4,NA
"San Martín De Valdeiglesias",2004,4,NA
"San Sebastián De Los Reyes",2004,4,2899.71117704147
"Sevilla La Nueva",2004,4,2274.10273334914
"Torrejón De Ardoz",2004,4,2250.42154307362
"Torrelodones",2004,4,2842.80935770877
"Tres Cantos",2004,4,3167.3864310885
"Valdemoro",2004,4,NA
"Villanueva De La Cañada",2004,4,NA
"Villanueva Del Pardillo",2004,4,NA
"Villaviciosa De Odón",2004,4,NA
"Alcalá De Henares",2005,1,2379.45613304641
"Alcobendas",2005,1,3448.3011346559
"Alcorcón",2005,1,2705.06802885205
"Algete",2005,1,NA
"Alpedrete",2005,1,2087.50582601945
"Aranjuez",2005,1,2084.33016530268
"Arganda Del Rey",2005,1,2131.79844004244
"Arroyomolinos",2005,1,NA
"Boadilla Del Monte",2005,1,2984.54468776858
"Brunete",2005,1,3081.08414494967
"Cercedilla",2005,1,NA
