id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23534822,Muy cerca del Bernabéu y con todo a un paso. Wifi,41316801,Miguel,Chamartín,Hispanoamérica,40.454504293673025,-3.6811137664697346,Private room,42,1,7,2018-11-04,0.84,3,68
23537740,Cozy apartment in Barrio Salamanca.,15295474,Federico,Salamanca,Goya,40.42492466458384,-3.6791691093483387,Entire home/apt,62,2,11,2018-10-06,1.40,1,183
23537916,Stylish Two Bedroom with Private Terrace next to Plaza España,26521943,María,Moncloa - Aravaca,Argüelles,40.42464506572254,-3.7127160081314257,Entire home/apt,120,1,9,2018-11-03,1.24,2,248
23538283,"COZY STAY IN MADRID - Apartments for Rent in Madrid, Community of Madrid, Spain",91506664,Elmi Jose,Arganzuela,Chopera,40.396247444303015,-3.697088047538985,Entire home/apt,49,2,7,2018-10-18,0.93,24,158
23540096,Plaza Castilla Apartment - Nice Views,174381789,Alvaro,Tetuán,Castillejos,40.46420938204295,-3.694981045853903,Entire home/apt,69,2,5,2018-10-18,0.62,25,132
23540422,Nice room Madrid City center!,11753022,David,Ciudad Lineal,Ventas,40.43017966292218,-3.657412533165508,Private room,14,1,28,2018-08-21,3.43,6,0
23540656,Cerca del Bernabéu y del centro histórico. Wifi,175867056,Isabel,Chamartín,Hispanoamérica,40.45469774286421,-3.6796141354117924,Private room,42,1,32,2018-10-24,3.90,2,68
23541023,Felipe y Sandy,174028454,Felipe,Hortaleza,Canillas,40.4618459796597,-3.650150454644346,Private room,42,1,7,2018-10-26,0.89,3,336
23542057,Apartamento junto a Gran Vía,175879184,Sergio,Centro,Justicia,40.42068489522637,-3.699997158015338,Entire home/apt,60,3,34,2018-11-07,4.05,1,13
23542991,Estudio con encanto en el centro de Madrid.,158276066,Abi,Centro,Embajadores,40.4072733393815,-3.7012254594891343,Entire home/apt,40,2,40,2018-10-14,4.82,2,42
23543067,ACOGEDOR APARTAMENTO EN LA PUERTA DEL SOL,56371885,Jacin,Centro,Sol,40.41944569653598,-3.7053410130189115,Entire home/apt,39,1,17,2018-10-23,2.04,3,319
23543950,"Apartment ""La Bombilla""",24113732,Aymara,Moncloa - Aravaca,Casa de Campo,40.43215350080153,-3.734228399579439,Entire home/apt,180,1,0,,,1,163
