"distrito","ano","quarter","precio"
"Ciudad Lineal",2003,4,3311.6321285589
"Fuencarral",2003,4,3283.02116762711
"Hortaleza",2003,4,3045.91052329716
"Latina",2003,4,2500.44682677441
"Moncloa",2003,4,3362.12437617636
"Moratalaz",2003,4,2673.37659477521
"Puente De Vallecas",2003,4,2430.17040393643
"Retiro",2003,4,3597.98292114626
"Salamanca",2003,4,3960.04641623219
"San Blas",2003,4,2749.46123616242
"Tetuán",2003,4,3309.7331565578
"Usera",2003,4,2424.22717550065
"Vicálvaro",2003,4,2811.70237742343
"Villa De Vallecas",2003,4,2389.77264017122
"Villaverde",2003,4,2132.73407665715
"Arganzuela",2004,1,3236.02158898773
"Barajas",2004,1,2927.96193124766
"Carabanchel",2004,1,2570.3109626712
"Centro",2004,1,3347.39096010613
"Chamartín",2004,1,4078.5256801356
"Chamberí",2004,1,4016.03566488294
"Ciudad Lineal",2004,1,3230.88965997329
"Fuencarral",2004,1,3295.62245756648
"Hortaleza",2004,1,3118.80903444284
"Latina",2004,1,2430.16443904158
"Moncloa",2004,1,3630.04425726371
"Moratalaz",2004,1,2746.61880861056
"Puente De Vallecas",2004,1,2492.36528158303
"Retiro",2004,1,3741.49444269496
"Salamanca",2004,1,4140.57922960446
"San Blas",2004,1,2897.68700380263
"Tetuán",2004,1,3462.11514072395
"Usera",2004,1,2520.77214416674
"Vicálvaro",2004,1,2747.12000154277
"Villa De Vallecas",2004,1,2356.55845726572
"Villaverde",2004,1,2280.63062004628
"Arganzuela",2004,2,3277.25969079458
"Barajas",2004,2,2975.7275837936
"Carabanchel",2004,2,2620.57158136727
"Centro",2004,2,3436.65478305003
"Chamartín",2004,2,4180.42113769222
"Chamberí",2004,2,4066.36750420808
"Ciudad Lineal",2004,2,3300.17875051171
"Fuencarral",2004,2,3357.62014315411
"Hortaleza",2004,2,3210.29902985789
"Latina",2004,2,2532.25048407058
"Moncloa",2004,2,3574.26179368442
"Moratalaz",2004,2,2798.04658549047
