Provincia	Municipio	Localidad	C.P.	Dirección	Margen	"Longitud (WGS84)"	"Latitud (WGS84)"	"Precio Gasolina 95 Protección"	"Precio Gasoleo A"	"Precio Nuevo Gasoleo A"	"Precio Biodiesel"	"% éster metílico"	"Precio Bioetanol"	"% Bioalcohol"	"Precio Gasolina  98"	"Precio Gas Natural Comprimido"	Rótulo	"Tipo Venta"	Remisión	Horario
GIRONA	Figueres	FIGUERES                 	17600	AVINGUDA SALVADOR DALI DOMENECH, 147	I	2,951389	42,279250	1,209	1,199	1,264		0,0		0,0	1,328		REPSOL	P	OM	L-D: 06:00-22:00
GIRONA	Figueres	FIGUERES                 	17600	CARRER CARLES FAGES DE CLIMENT, S/N	D	2,960556	42,257778	1,193	1,132	1,193		0,0		0,0	1,328		EROSKI	P	dm	L-S: 08:00-22:00
GIRONA	Figueres	FIGUERES                 	17600	CTRA. DE ROSES km 31	I	2,984444	42,267250	1,184	1,163	1,224		0,0		0,0	1,302		SHELL	P	OM	L-D: 08:00-21:00
GIRONA	Figueres	FIGUERES                 	17600	"CAMINO SECTOR ""RECINTO FERIAL"",CNO CEMENTERIO, S/N"	N	2,976639	42,261222	1,198	1,188	1,253		0,0		0,0	1,317		GALP	P	dm	L-D: 06:00-22:00
GIRONA	Figueres	FIGUERES                 	17600	AUSIAS MARCH S/N	N	2,963833	42,253111	1,195	1,189			0,0		0,0	1,298		LA PLANTA 51	P	dm	L-D: 24H
GIRONA	Figueres	FIGUERES                 	17600	RONDA SUD, 17	N	2,976611	42,261222	1,159	1,039	1,093		0,0		0,0			CENTRES AUTOEQUIP FIGUERES	P	dm	L-S: 09:00-19:00
GIRONA	Figueres	FIGUERES                 	17600	FINAL CALLE NORTE,S/N	I	2,967364	42,269846	1,207	1,199	1,259		0,0		0,0	1,333		PETREM	P	dm	L-D: 24H
GIRONA	Figueres	FIGUERES                 	17600	VILALLONGA, 61 (CTRA.260)	I	2,973170	42,266680	1,207	1,199	1,259		0,0		0,0	1,333		PETREM	P	dm	L-D: 24H
GIRONA	Figueres	FIGUERES                 	17600	CARRETERA OLOT KM. 38,5	D	2,950056	42,260889	1,209	1,199	1,264		0,0		0,0	1,328		PETRONOR	P	dm	L-D: 06:30-23:00
GIRONA	Figueres	FIGUERES                 	17600	CARRETERA C-260 KM. 27,5	D	2,981750	42,266611	1,209	1,199	1,264		0,0		0,0	1,328		REPSOL	P	OM	L-J: 07:00-23:00; V-S: 07:00-00:00; D: 07:00-23:00
GIRONA	Figueres	FIGUERES                 	17600	HIPER ESCLAT. AVDA.PAISOS CATALANS, 2	N	2,950972	42,260861	1,149	1,069			0,0		0,0			ESCLATOIL	P	dm	L-D: 24H
GIRONA	Figueres	VILATENIM                	17484	CARRETERA FIGUERES A ROSES KM 29 KM. 29	N	2,999944	42,268417	1,199	1,139	1,189		0,0		0,0	1,318		CARREFOUR	P	dm	L-D: 24H
GIRONA	Fontanilles	FONTANILLES              	17257	CARRETERA 31 KM. 344,8	I	3,145944	42,004500	1,229	1,169	1,234		0,0		0,0			PETROCAT	P	OM	L-D: 07:00-21:00
GIRONA	Forallac	VULPELLAC                	17111	CARRETERA C-66 KM. 7,14	D	3,070611	41,955944	1,209	1,139	1,234		0,0		0,0	1,349		CEPSA	P	dm	L-D: 06:00-22:00
GIRONA	Forallac	VULPELLAC                	17111	PARCELA 27 POLIGON 8 (C-66)	N	3,055361	41,957472	1,229	1,159	1,239		0,0		0,0	1,359		BP	P	dm	L-D: 06:30-22:00
GIRONA	Fornells de la Selva	FORNELLS DE LA SELVA     	17458	CARRETERA NACIONAL II KM. 710	D	2,797944	41,935750	1,168	1,089			0,0		0,0			SERVICO	P	dm	L-D: 24H
GIRONA	Fortià	FORTIA                   	17469	CARRETERA C-260 KM. 33,056	D	3,046833	42,259306	1,199	1,169	1,239		0,0		0,0	1,329		GALP	P	OM	L-D: 06:00-22:00
GIRONA	Fortià	FORTIA                   	17469	CARRETERA C-260 KM. 33,176	I	3,048472	42,259583	1,199	1,169	1,239		0,0		0,0	1,329		GALP	P	OM	L-D: 06:00-22:00
GIRONA	Garrigàs	GARRIGAS                 	17476	AUTOPISTA AP-7 KM. 35	D	2,930083	42,173417	1,269	1,209	1,274		0,0		0,0	1,388		REPSOL	P	OM	L-D: 24H
GIRONA	Garrigàs	GARRIGAS                 	17476	AUTOPISTA AP-7 (MRG.IZDO.) KM. 35	I	2,931806	42,173833	1,289	1,229	1,289		0,0		0,0	1,409		CEPSA	P	OM	L-D: 24H
GIRONA	Girona	GIRONA                   	17004	CARRETERA SANT FELIU DE GUIXOLS KM. 2	D	2,839250	41,970028	1,259	1,179	1,244		0,0		0,0	1,378		REPSOL	P	OM	L-D: 06:00-22:00
GIRONA	Girona	GIRONA                   	17002	CALLE CRUZ, S/N	D	2,823750	41,975250	1,259	1,179	1,244		0,0		0,0	1,378		REPSOL	P	OM	L-D: 06:00-22:00
GIRONA	Girona	GIRONA                   	17001	CL BARCELONA, 208	D	2,823833	41,975222	1,269	1,179	1,244		0,0		0,0	1,388		REPSOL	P	OM	L-D: 24H
GIRONA	Girona	GIRONA                   	17001	CARRER BARCELONA, 236	I	2,817833	41,977861	1,259	1,179	1,249		0,0		0,0	1,386		BP	P	dm	L-D: 06:00-22:00
GIRONA	Girona	GIRONA                   	17005	CARRETERA SANTA COLOMA KM. 38-42	D	2,809028	41,966472	1,139	1,059			0,0		0,0			CAMPSA EXPRESS	P	OM	L-D: 24H
GIRONA	Girona	GIRONA                   	17005	CARRETERA DE SANTA COLOMA KM. 106	N	2,801500	41,959167	1,139	1,059			0,0		0,0			ESCLATOIL	P	dm	L-D: 24H
GIRONA	Girona	GIRONA                   	17005	CALLE TORRE VEDRUNA, S/N	D	2,800278	41,962500	1,139	1,059			0,0		0,0			GM OIL	P	dm	L-D: 24H
GIRONA	Girona	GIRONA                   	17005	CALLE STA COLOMA, 71	I	2,806306	41,963167	1,239	1,164	1,249		0,0		0,0	1,355		PETROCAT	P	OM	L-D: 06:00-22:00
GIRONA	Girona	GIRONA                   	17005	CARRETERA GE-533 KM. 0,3	I	2,811306	41,968028	1,239	1,164	1,249		0,0		0,0	1,355		CEPSA	P	OM	L-D: 06:00-22:00
GIRONA	Girona	GIRONA                   	17003	CARRER BARCELONA, 443	D	2,806361	41,951083	1,259	1,179	1,249		0,0		0,0	1,386		BP	P	dm	L-D: 06:00-22:00
GIRONA	Girona	GIRONA                   	17003	CALLE EMILI GRAHIT, 106	D	2,843611	41,964556	1,259	1,179	1,249		0,0		0,0	1,386		BP	P	dm	L-D: 24H
GIRONA	Girona	GIRONA                   	17006	CL SANTA EUGENIA, 122	D	2,808500	41,978056	1,259	1,179	1,244		0,0		0,0	1,378		REPSOL	P	OM	L-D: 06:00-22:00
GIRONA	Girona	GIRONA                   	17007	RDA. FORT ROIG, 21 (URB. MONTJUIC)	D	2,833639	41,994472	1,229	1,174	1,279		0,0		0,0	1,354		GM	P	dm	L-S: 07:00-22:00; D: 07:00-14:00
GIRONA	Girona	GIRONA                   	17007	CARRER PONT MAJOR, 131	I	2,826639	42,013861	1,245	1,195	1,254		0,0		0,0	1,359		PETROCAT	P	OM	L-D: 06:00-22:00
GIRONA	Girona	GIRONA                   	17007	CALLE SANT PONS DE LA BARCA, 2	D	2,819028	41,991167	1,245	1,195	1,254		0,0		0,0	1,359		CEPSA	P	OM	L-D: 06:00-22:00
